2026-03-12 11:01:26 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=1115ms
2026-03-12 15:12:07 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=210ms
2026-03-12 15:12:32 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=15702ms
2026-03-12 15:13:09 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/users | IP=0:0:0:0:0:0:0:1 | status=200 | time=3913ms
2026-03-12 15:13:47 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/user-roles | IP=0:0:0:0:0:0:0:1 | status=200 | time=1539ms
2026-03-12 15:15:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=20ms
2026-03-12 15:15:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=86ms
2026-03-12 15:15:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=86ms
2026-03-12 15:15:40 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=34ms
2026-03-12 15:15:41 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=170ms
2026-03-12 15:15:51 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/users | IP=0:0:0:0:0:0:0:1 | status=200 | time=858ms
2026-03-12 15:35:19 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=52ms
2026-03-12 15:35:22 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=5ms
2026-03-12 15:35:23 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=1ms
2026-03-12 15:35:23 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=7ms
2026-03-12 15:35:23 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=6ms
2026-03-12 15:36:37 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=515ms
2026-03-12 15:36:39 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=3ms
2026-03-12 15:36:51 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=115ms
2026-03-12 15:36:53 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=59ms
2026-03-12 15:36:55 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=10ms
2026-03-12 15:36:55 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=0ms
2026-03-12 15:37:02 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=4ms
2026-03-12 15:37:30 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=5ms
2026-03-12 15:37:36 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=2ms
2026-03-12 15:37:58 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=5ms
2026-03-12 15:42:44 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=228ms
2026-03-12 15:42:46 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=9ms
2026-03-12 15:42:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=3ms
2026-03-12 15:43:15 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=1232ms
2026-03-12 15:43:20 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=31ms
2026-03-12 15:44:35 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=3ms
2026-03-12 15:44:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=8ms
2026-03-12 15:44:46 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=385ms
2026-03-12 15:44:49 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=0ms
2026-03-12 15:45:12 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=141ms
2026-03-12 15:45:16 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=0ms
2026-03-12 15:46:42 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=5ms
2026-03-12 15:55:46 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=335ms
2026-03-12 15:55:46 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=542ms
2026-03-12 15:55:46 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=560ms
2026-03-12 15:56:06 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=46ms
2026-03-12 15:56:10 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=35ms
2026-03-12 15:56:15 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=32ms
2026-03-12 15:56:18 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=85ms
2026-03-12 15:56:45 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=1211ms
2026-03-12 15:56:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=11ms
2026-03-12 15:56:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=107ms
2026-03-12 15:56:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=103ms
2026-03-12 15:58:08 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=4ms
2026-03-12 15:58:08 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=90ms
2026-03-12 15:58:08 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=85ms
2026-03-12 15:58:18 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=518ms
2026-03-12 15:58:25 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=5ms
2026-03-12 15:58:25 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=80ms
2026-03-12 15:58:25 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=82ms
2026-03-12 15:58:56 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=28ms
2026-03-12 15:59:02 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=35ms
2026-03-12 15:59:06 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=34ms
2026-03-12 16:00:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=696ms
2026-03-12 16:00:55 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=35ms
2026-03-12 16:00:56 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=262ms
2026-03-12 16:00:56 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=223ms
2026-03-12 16:03:14 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=12087ms
2026-03-12 16:10:52 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=158ms
2026-03-12 16:10:52 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=661ms
2026-03-12 16:10:52 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=689ms
2026-03-12 16:15:43 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/register | IP=0:0:0:0:0:0:0:1 | status=200 | time=2242ms
2026-03-12 16:16:37 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=1227ms
2026-03-12 16:16:37 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=38ms
2026-03-12 16:16:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=265ms
2026-03-12 16:16:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=228ms
2026-03-12 16:47:39 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=217ms
2026-03-12 16:47:40 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=480ms
2026-03-12 16:47:40 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=485ms
2026-03-12 16:47:59 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=1683ms
2026-03-12 16:48:09 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=54ms
2026-03-12 16:48:09 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=157ms
2026-03-12 16:48:09 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=181ms
2026-03-12 16:48:18 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=132ms
2026-03-12 16:48:18 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=143ms
2026-03-12 16:48:39 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=44ms
2026-03-12 16:48:42 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=92ms
2026-03-12 16:48:57 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=100ms
2026-03-12 16:50:27 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=14ms
2026-03-12 16:50:28 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=131ms
2026-03-12 16:50:28 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=avinash_surwase_3009 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=144ms
2026-03-12 16:52:15 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/register | IP=0:0:0:0:0:0:0:1 | status=200 | time=1987ms
2026-03-12 16:52:45 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=875ms
2026-03-12 16:53:10 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=840ms
2026-03-12 16:53:10 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=prathm_kandharkar_9008 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=22ms
2026-03-12 16:53:10 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=prathm_kandharkar_9008 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=176ms
2026-03-12 16:53:10 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=prathm_kandharkar_9008 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=175ms
2026-03-12 16:53:41 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=prathm_kandharkar_9008 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=11532ms
2026-03-12 16:53:43 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=prathm_kandharkar_9008 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=1992ms
2026-03-12 16:55:23 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=prathm_kandharkar_9008 | GET /api/v1/reports/user-roles | IP=0:0:0:0:0:0:0:1 | status=200 | time=3676ms
